ffc_band,yearmonth(bca),Total
> 80,2026 Sep,0
> 80,2026 Oct,0
> 80,2026 Nov,0
> 80,2026 Dec,0
> 80,2027 Jan,0
> 80,2027 Feb,0
> 80,2027 Mar,0
> 80,2027 Apr,0
> 80,2027 May,1
> 80,2027 Jun,0
> 80,2027 Jul,0
> 80,2027 Aug,0
> 80,2027 Sep,0
> 80,2027 Oct,0
> 80,2027 Nov,2
> 80,2027 Dec,0
> 80,2028 Jan,0
> 80,2028 Feb,0
> 80,2028 Mar,0
> 80,2028 Apr,0
> 80,2028 May,0
> 80,2028 Jun,0
> 80,2028 Jul,0
> 80,2028 Aug,0
> 80,2028 Sep,0
> 80,2028 Oct,0
> 80,2028 Nov,0
> 80,2028 Dec,0
> 80,2029 Jan,0
> 80,2029 Feb,0
> 80,2029 Mar,1
> 80,2029 Apr,0
> 80,2029 May,0
> 80,2029 Jun,0
> 80,2029 Jul,0
> 80,2029 Aug,0
> 80,2029 Sep,0
> 80,2029 Oct,0
> 80,2029 Nov,0
> 80,2029 Dec,0
> 80,2030 Jan,0
> 80,2030 Feb,0
> 80,2030 Mar,0
> 80,2030 Apr,0
> 80,2030 May,0
> 80,2030 Jun,0
> 80,2030 Jul,0
> 80,2030 Aug,0
> 80,2030 Sep,0
> 80,2030 Oct,0
> 80,2030 Nov,0
> 80,2030 Dec,1
